firebot-1  | [arduino_bridge_node-2] [INFO] [1777494234.497049244] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494234.698377207] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494234.886146744] [brain_node]: warning countdown: 6s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494234.896742762] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494235.096128799] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494235.297345262] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494235.495345132] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494235.699467114] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494235.884744910] [brain_node]: warning countdown: 5s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494235.896544558] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494236.096177632] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494236.295183280] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494236.496414724] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494236.696322187] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494236.884130169] [brain_node]: warning countdown: 4s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494236.895141595] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494237.097429502] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494237.296771446] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494237.495227465] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494237.695559187] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494237.886977575] [brain_node]: warning countdown: 3s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494237.896101390] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494238.095015409] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494238.301712297] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494238.497938019] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494238.695272723] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494238.889654408] [brain_node]: warning countdown: 2s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494238.897487186] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494239.095562538] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494239.295089538] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494239.499715667] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494239.695493611] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494239.885413796] [brain_node]: warning countdown: 1s
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494239.895779074] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494240.095567630] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494240.295532296] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494240.496648592] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494240.695370463] [arduino_bridge_node]: mega: warn=1
firebot-1  | [brain_node-3] [WARN] [1777494240.884871425] [brain_node]: warning countdown: 0s
firebot-1  | [brain_node-3] [INFO] [1777494240.885731703] [brain_node]: state: WARNING -> EXTINGUISHING
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494240.897160629] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494241.095359185] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494241.301156999] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494241.501187740] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494241.695707073] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494241.895285592] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494242.095543777] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494242.295418628] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494242.499233480] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494242.695818258] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494242.895195165] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494243.095770146] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494243.295598998] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494243.495447739] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494243.697279887] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494243.895520146] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494244.095834887] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494244.295786201] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494244.497609905] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494244.695512201] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494244.895462886] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494245.095370516] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494245.295277201] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494245.496650701] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494245.695577071] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494245.896184922] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494246.095464404] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494246.297225015] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494246.495531459] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494246.696970774] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494246.896988996] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494247.095310996] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494247.296113440] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494247.497162088] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494247.695566903] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494247.898222884] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494248.095979773] [arduino_bridge_node]: mega: warn=1
firebot-1  | [arduino_bridge_node-2] [INFO] [1777494248.295363014] [arduino_bridge_node]: mega: warn=1
